Data,Total de tweets,N̼mero de tweets violentos,Porcentagem de tweets violentos
2023-04-28 17:00:00,422,17,4.03
2023-04-28 18:00:00,1484,144,9.7
2023-04-28 19:00:00,803,42,5.23
2023-04-28 20:00:00,1995,152,7.62
2023-04-28 21:00:00,939,47,5.01
2023-04-28 22:00:00,1848,174,9.42
2023-04-28 23:00:00,1026,102,9.94
2023-04-29 00:00:00,1209,101,8.35
2023-04-29 01:00:00,331,20,6.04
2023-04-29 02:00:00,412,45,10.92
2023-04-29 03:00:00,214,23,10.75
2023-04-29 04:00:00,148,10,6.76
2023-04-29 05:00:00,117,5,4.27
2023-04-29 06:00:00,326,32,9.82
2023-04-29 07:00:00,623,56,8.99
2023-04-29 08:00:00,744,66,8.87
2023-04-29 09:00:00,1885,136,7.21
2023-04-29 10:00:00,1737,150,8.64
2023-04-29 11:00:00,414,26,6.28
2023-04-29 12:00:00,1835,119,6.49
2023-04-29 13:00:00,648,36,5.56
2023-04-29 14:00:00,984,56,5.69
2023-04-29 15:00:00,1544,130,8.42
2023-04-29 16:00:00,141,11,7.8
2023-04-29 17:00:00,469,42,8.96
2023-04-29 18:00:00,1622,123,7.58
2023-04-29 19:00:00,1403,120,8.55
2023-04-29 20:00:00,607,34,5.6
2023-04-29 21:00:00,1209,92,7.61
2023-04-29 22:00:00,1618,124,7.66
2023-04-29 23:00:00,1128,89,7.89
2023-04-30 00:00:00,1153,98,8.5
2023-04-30 01:00:00,496,39,7.86
2023-04-30 02:00:00,261,22,8.43
2023-04-30 03:00:00,263,17,6.46
2023-04-30 04:00:00,226,25,11.06
2023-04-30 05:00:00,184,17,9.24
2023-04-30 06:00:00,277,25,9.03
2023-04-30 07:00:00,353,34,9.63
2023-04-30 08:00:00,276,28,10.14
2023-04-30 09:00:00,909,73,8.03
2023-04-30 10:00:00,977,80,8.19
2023-04-30 11:00:00,1013,94,9.28
2023-04-30 12:00:00,422,17,4.03
2023-04-30 13:00:00,1175,119,10.13
2023-04-30 14:00:00,1059,92,8.69
2023-04-30 15:00:00,1012,92,9.09
2023-04-30 16:00:00,1440,89,6.18
2023-04-30 17:00:00,954,76,7.97
2023-04-30 18:00:00,1235,127,10.28
2023-04-30 19:00:00,2202,202,9.17
2023-04-30 20:00:00,1347,143,10.62
2023-04-30 21:00:00,352,16,4.55
2023-04-30 22:00:00,808,78,9.65
2023-04-30 23:00:00,740,57,7.7
2023-05-01 00:00:00,911,76,8.34
2023-05-01 01:00:00,214,10,4.67
2023-05-01 02:00:00,259,29,11.2
2023-05-01 03:00:00,118,11,9.32
2023-05-01 04:00:00,102,10,9.8
2023-05-01 05:00:00,137,15,10.95
2023-05-01 06:00:00,178,11,6.18
2023-05-01 07:00:00,325,31,9.54
2023-05-01 08:00:00,665,61,9.17
2023-05-01 09:00:00,750,75,10.0
2023-05-01 10:00:00,239,13,5.44
2023-05-01 11:00:00,1118,83,7.42
2023-05-01 12:00:00,606,34,5.61
2023-05-01 13:00:00,2136,215,10.07
2023-05-01 14:00:00,1621,154,9.5
2023-05-01 15:00:00,1368,125,9.14
2023-05-01 16:00:00,1404,110,7.83
2023-05-01 17:00:00,990,83,8.38
2023-05-01 18:00:00,1426,109,7.64
2023-05-01 19:00:00,1045,61,5.84
2023-05-01 20:00:00,705,32,4.54
2023-05-01 21:00:00,1946,141,7.25
2023-05-01 22:00:00,1943,173,8.9
2023-05-01 23:00:00,1127,92,8.16
2023-05-02 00:00:00,1054,64,6.07
2023-05-02 01:00:00,746,66,8.85
2023-05-02 02:00:00,356,28,7.87
2023-05-02 03:00:00,116,8,6.9
2023-05-02 04:00:00,205,15,7.32
2023-05-02 05:00:00,213,19,8.92
2023-05-02 06:00:00,34,3,8.82
2023-05-02 07:00:00,425,27,6.35
2023-05-02 08:00:00,695,79,11.37
2023-05-02 09:00:00,409,16,3.91
2023-05-02 10:00:00,1236,108,8.74
2023-05-02 11:00:00,835,64,7.66
2023-05-02 12:00:00,380,30,7.89
