"OBS: Candidaturas LGBT+ ao Legislativo, que disputaram as eleições de 2022, cadastradas na plataforma VoteLGBT. TOTAL = 319",,,,,,,
Link,TSE_UF,TSE NOME DE URNA,TSE N° URNA,TSE CARGO,TSE PARTIDO,RESULTADO,NÚMERO DE VOTOS
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AC/10001622769,AC, DRª MICHELLE MELO ,12555,Deputado Estadual,PDT,Eleito por QP,5.990
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AC/10001649410,AC, RUBBY RODRIGUES ,4055,Deputado Federal,PSB,Não eleito,512
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AL/20001653530,AL, BIANCA NUNES ,15015,Deputado Estadual,MDB,Suplente,1.058
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AL/20001612339,AL, ELIDA MIRANDA ,13500,Deputado Estadual,PT,Suplente,4.712
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AL/20001638578,AL,ALLISSINHA,70200,Deputado Estadual,AVANTE,Suplente,230
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AL/20001716678,AL ,HERIK DIAS,45800,Deputado Estadual,PSDB,Não eleito,234
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AM/40001633263,AM, FLORISMAR BANCADA AMAZÔNIDA ,13550,Deputado Estadual,PT,Suplente,1.669
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AM/40001726396,AM, DRA. KEZIA TAVARES ,50333,Deputado Estadual,PSOL,Não eleito,151
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AM/40001633256,AM,GABRIEL MOTA,65000,Deputado Estadual,PC do B,Suplente,3.288
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AM/40001719265,AM,MARÍLIA FREIRE,500,Senador,PSOL,Não eleito,28.557
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AP/30001605440,AP, EDEM JARDIM,15321,Deputado Estadual,MDB,Suplente,428
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/AP/30001605458,AP, RAFAELA ESTEFFANS,1500,Deputado Federal,MDB,Suplente,853
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001615370,BA, DRA. ADRIANA CARDOSO,1909,Deputado Federal,PODE,Suplente,1.562
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001620952,BA, ANDERSON ROCHA,12888,Deputado Estadual,PDT,Suplente,1.051
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600617,BA, NEGA VAN PSOL,50777,Deputado Estadual,PSOL,Suplente,1.548
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001605377,BA, CAMILA PARKER,4324,Deputado Federal,PV,Suplente,615
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600554,BA, CAROL LIMA,5018,Deputado Federal,PSOL,Não eleito,3.343
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600583,BA, DANILO SANTANA COLETIVO RAÍZES,5003,Deputado Federal,PSOL,Não eleito,1.959
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600621,BA, GLEIDE DAVIS,50113,Deputado Estadual,PSOL,Suplente,3.321
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600565,BA, LAINA CRISÓSTOMO,5013,Deputado Federal,PSOL,Não eleito,6.778
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001717858,BA, MARIA FERNANDA ,9024,Deputado Federal,PROS,Não eleito,133
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001605356,BA, MARIA MARIGHELLA,1331,Deputado Federal,PT,Suplente,53.364
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001620916,BA, ROSY SILVA ,12224,Deputado Estadual,PDT,Suplente,902
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001600605,BA, VÂNIA COLETIVO CAMINHOS,50074,Deputado Estadual,PSOL,Suplente,596
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001605376,BA, VILMA REIS,1303,Deputado Federal,PT,Suplente,60.949
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001606391,BA, JÉSSICA SILVA ,65111,Deputado Estadual,PC do B,Suplente,3.054
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001605970,BA,DRA. FABÍOLA MANSUR ,40040,Deputado Estadual,PSB,Suplente,58.064
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/BA/50001620878,BA,LEO KRET,1224,Deputado Federal,PDT,Suplente,9.012
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001613097,CE, ADRIANA GERONIMO ,50777,Deputado Estadual,PSOL,Suplente,14.577
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001613070,CE, AILTON LOPES ,5050,Deputado Federal,PSOL,Não eleito,16.052
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001633669,CE, PRETA KAROL ,13138,Deputado Estadual,PT,Suplente,1.541
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001613071,CE, ANNA KARINA VOZES FEMINISTAS ,5005,Deputado Federal,PSOL,Não eleito,9.512
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001613079,CE, LÍDIA DO BORA DE RUMA ,5044,Deputado Federal,PSOL,Não eleito,7.072
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001633651,CE, LUANA VALIM ,13220,Deputado Estadual,PT,Suplente,1.856
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001633660,CE, MARI LACERDA ,13131,Deputado Estadual,PT,Suplente,15.453
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001613077,CE, MAYA ELIZ ,5007,Deputado Federal,PSOL,Não eleito,4.111
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001719179 ,CE, PAULO ANACÉ ,5020,Deputado Federal,PSOL,Não eleito,1.166
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001619106,CE, RAMON NOBRE ,90009,Deputado Estadual,PROS,Não eleito,161
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/CE/60001634340,CE, SUED CARVALHO ,8080,Deputado Federal,UP,Não eleito,2.140
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601774,DF, SUSANA XAVIER - DONAS ,50000,Deputado Distrital,PSOL,Suplente,901
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001636644,DF, PROFESSOR CRISTIANO ,4067,Deputado Federal,PSB,Não eleito,595
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601743,DF, DANI SANCHEZ,5000,Deputado Federal,PSOL,Não eleito,8.958
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601775,DF, DERSON MAIIA ,50013,Deputado Distrital,PSOL,Suplente,564
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601758,DF, FÁBIO FELIX ,50123,Deputado Distrital,PSOL,Eleito por QP,51.792
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001649964,DF, GABY SANTOS ,12321,Deputado Distrital,PDT,Não eleito,528
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601762,DF, PROFESSOR GUI SOUSA,18000,Deputado Distrital,REDE,Suplente,987
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001596091,DF, COLETIVA SOMOS HELLEN FRIDA ,13180,Deputado Distrital,PT,Suplente,7.626
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601748,DF, MIRANDA COLETIVA AFROINDÍGENA,1881,Deputado Federal,REDE,Não eleito,1.318
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001653682,DF, KYARA ZARUTY ,35100,Deputado Distrital,PMB,Não eleito,6
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001636083,DF, LUCAS LUZ ,40022,Deputado Distrital,PSB,Suplente,535
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601746,DF, MADU MULHERES DE TODAS LUTAS ,5088,Deputado Federal,PSOL,Não eleito,2.202
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001713405,DF, MARI VALENTIM ,2324,Deputado Federal,CIDADANIA,Não eleito,1.058
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001636642,DF, PAULA BENETT ,4000,Deputado Federal,PSB,Não eleito,1.464
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001595677,DF, RUTH VENCEREMOS,1361,Deputado Federal,PT,Suplente,31.538
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601756,DF, TALITA VICTOR ,50044,Deputado Distrital,PSOL,Suplente,4.865
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001643996,DF,ALEXANDRE LIRA ,77777,Deputado Distrital,SOLIDARIEDADE,Não eleito,170
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001636645,DF,PROFESSOR ISRAEL ,4077,Deputado Federal,PSB,Não eleito,40.885
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001596093,DF, PROF LÊDA COLETIVE CHÃO ,13000,Deputado Distrital,PT,Suplente,4.894
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/DF/70001601767,DF,MANDATA FEMINISTA BEM VIVER BE,50999,Deputado Distrital,PSOL,Suplente,3.143
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001621158,ES, BARBARAH BRASIL ,40106,Deputado Estadual,PSB,Suplente,299
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001611838,ES, ANE HALAMA ,5001,Deputado Federal,PSOL,Não eleito,2.017
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001719420,ES,IVO COLETIVA RAÇA E CLASSE,1333,Deputado Federal,PT,Suplente,5.756
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001620972,ES,MULHERES DE TODAS AS LUTAS,4001,Deputado Federal,PSB,Suplente,2.350
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001610768,ES,RAFAELLA MACHADO ,500,Senador (1º suplente),PSOL,Não eleito,20.138
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001611188,ES, SANDRINHA OLIVEIRA JUNTAS ,50013,Deputado Estadual,PSOL,Suplente,451
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001611205,ES,MONICA ALVES,50010,Deputado Estadual,PSOL,Suplente,581
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001720047,ES,WALDIR PIRES,12096,Deputado Estadual,PDT,Suplente,303
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001648108,GO, ARIEL LUZ ,1330,Deputado Federal,PT,Suplente,2.021
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001675421,GO, ARTHUR RAMOS ,2121,Deputado Federal,PCB,Não eleito,959
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001675308,GO, BARBARA BOMBOM ,50024,Deputado Estadual,PSOL,Não eleito,1.150
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001649529,GO, FABRÍCIO ROSA ,13200,Deputado Estadual,PT,Suplente,20.432
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001614061,GO, ILLANA MATTOS ,2034,Deputado Federal,PSC,Suplente,363
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001648118,GO, ISABEL CRISTINE ,1307,Deputado Federal,PT,Suplente,898
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001647438,GO, JÚNIOR PINHEIRO ,45745,Deputado Estadual,PSDB,Suplente,273
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001621635,GO, MATHEUS RIBEIRO ,4555,Deputado Federal,PSDB,Suplente,46.961
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001675162,GO,MARCO AURELIO,5024,Deputado Federal,PSOL,Não eleito,265
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001647407,GO, MARCELO GOMES ,45700,Deputado Estadual,PSDB,Suplente,136
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001732912,GO,WANESSA BELTRÃO,13444,Deputado Estadual,PT,Suplente,374
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001613727,MA, PAULO ROMÃO ,13613,Deputado Estadual,PT,Suplente,749
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001601133,MA, RAISSA MENDONÇA ,1277,Deputado Federal,PDT,Suplente,2.047
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001713953,MA, CADU MARQUES ,50513,Deputado Estadual,PSOL,Não eleito,1.417
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001613737,MA ,CHICO COLETIVO GUARNICÊ,13400,Deputado Estadual,PT,Suplente,14.296
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001607066,MA,PROF ADROALDO COLETIVO VAMOS,40100,Deputado Estadual,PSB,Suplente,2.046
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615236,MG, ALAN RODRIGUES ,50777,Deputado Estadual,PSOL,Suplente,1.068
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607245,MG, CRISTINA DEL PAPA ,1317,Deputado Federal,PT,Suplente,4.763
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607369,MG, DANDARA ,13777,Deputado Estadual,PT,Suplente,18.624
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607401,MG, DANIEL CABRAL ,65000,Deputado Estadual,PC do B,Suplente,8.100
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615068,MG, DUDA DAS CADEIRAS ,21210,Deputado Estadual,PCB,Não eleito,2.746
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607432,MG, EDINALDO SOARES ,13111,Deputado Estadual,PT,Suplente,3.616
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615175,MG, GIZA ALEXANDRE ,5046,Deputado Federal,PSOL,Suplente,1.066
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001606754,MG, GREGORY RODRIGUES ,12457,Deputado Estadual,PDT,Suplente,610
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615280,MG, BELLA GONÇALVES ,50500,Deputado Estadual,PSOL,Eleito por QP,43.768
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001678198,MG, ISAÍAS MARTINS ,15678,Deputado Estadual,MDB,Suplente,4.982
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615181,MG, IZA LOURENÇA ,5000,Deputado Federal,PSOL,Suplente,51.304
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615233,MG, LAUANA JUHLIA TAINA ,50111,Deputado Estadual,PSOL,Suplente,12.442
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615271,MG, KÊNIA RIBEIRO ,50444,Deputado Estadual,PSOL,Suplente,558
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607374,MG, KÉSLEY A ATREVIDA ,13038,Deputado Estadual,PT,Suplente,1.521
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615079,MG, LÍVIA FLOR ,2135,Deputado Federal,PCB,Não eleito,856
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607278,MG, CIÇA ,1322,Deputado Federal,PT,Suplente,5.902
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001612987,MG, NEILA SCHINEIDER ,7741,Deputado Federal,SOLIDARIEDADE,Suplente,254
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615080,MG, ESPAGUETE ,2117,Deputado Federal,PCB,Não eleito,1.957
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615093,MG, SARA AZEVEDO ,500,Senador,PSOL,Não eleito,113.304
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001613138,MG, VINÍCIUS VINISIM ,40444,Deputado Estadual,PSB,Suplente,1.002
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615238,MG, COLETIVAS VOZES GERAIS/WALLACE ,50034,Deputado Estadual,PSOL,Suplente,1.710
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001606697,MG, DUDA SALABERT ,1212,Deputado Federal,PDT,Eleito por QP,208.332
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001613347,MG, JULIANA SALES ,2300,Deputado Federal,CIDADANIA,Suplente,5.487
